OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,CouncilDistrictCode,Neighborhood,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity,GHGEmissionsIntensity(kgCO2e/ft2),NaturalGas(kBtu),NaturalGas(therms),Electricity(kBtu),Electricity(kWh),SteamUse(kBtu),OtherFuelUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus
24,942000510,2019,NonResidential,RAINIER CLUB (HISTORICAL LANDMARK),7,DOWNTOWN,1907,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,Mixed Use Property,,Mixed Use Property,243.4,,,138.2,139.2,8000044,7938821,265.6,266.4,,4.2,,2326592,23266,3798900,1113394,1813328,,57452,57452,0,,5,Social/Meeting Hall,16442,Restaurant,15505,Office,9741,,No Issue,Compliant
25,942000610,2019,NonResidential,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,7,DOWNTOWN,1916,700 3RD AVE,SEATTLE,WA,98104,47.60376,-122.33194,Hotel,,Hotel,199.9,61,,83.1,83.1,8669218,8669218,184,184,,1.9,,608807,6088,5553235,1627560,2507176,,104352,104352,0,,10,Hotel,104352,,,,,,No Issue,Compliant
26,942000860,2019,NonResidential,KING COUNTY COURTHOUSE,7,DOWNTOWN,1916,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,Courthouse,,Courthouse,1386.8,60,,87.5,88,47276056,46991664,168.8,169.1,,2.6,,23370698,233707,23620966,6922909,0,,540360,540360,0,,10,Courthouse,501287,Barracks,35863,,,,No Issue,Compliant
27,942001010,2019,NonResidential,KING COUNTY CORRECTIONAL FACILITY,3,DOWNTOWN,1985,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,Prison/Incarceration,,Prison/Incarceration,1804.1,,,147,146.2,49615032,49888196,247.3,245.6,,4.7,,31878400,318784,18009795,5278369,0,,385274,385274,0,,19,Prison/Incarceration,339315,Parking,45959,,,,No Issue,Compliant
28,1102000138,2019,SPS-District K-12,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),2,SOUTHEAST,1961,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,K-12 School,,K-12 School,49.3,91,,28.1,28.7,1688757,1653253,53.8,54.6,,0.9,,834045,8340,819208,240096,0,,56228,56228,0,,2,K-12 School,58916,,,,,,No Issue,Compliant
29,1142000755,2019,NonResidential,WATERTOWN HOTEL,4,NORTHEAST,2001,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65958,-122.31738,Hotel,,Hotel,79.2,96,,49.6,49.6,3360246,3360246,106.7,106.7,,1.4,,1245397,12454,2114849,619827,0,,88592,58006,30586,,6,Hotel,67770,Parking,30586,,,,No Issue,Compliant
30,660001420,2019,NonResidential,CORNISH (Main Campus Center),7,DOWNTOWN,1928,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,College/University,,College/University,277.9,,,79.4,80.5,10068496,9929130,157.8,159,,2.2,,4615337,46153,5313794,1557384,0,,126593,126593,0,,7,College/University,125000,,,,,,No Issue,Compliant
32,660001832,2019,NonResidential,HOMEWOOD SUITES -SEATTLE - Hilton,7,EAST,1991,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,Hotel,,Hotel,286.5,74,,71.3,71,10843903,10889710,146.1,145.3,,2.2,,4673809,46738,6215900,1821776,0,,158676,128375,30301,,8,Hotel,152708,Parking,42000,Swimming Pool,0,,No Issue,Compliant
33,660002680,2019,NonResidential,SPRINGHILL SUITES SEATTLE DOWNTOWN,7,DOWNTOWN,2001,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,Hotel,,Hotel,273.3,75,,75.8,75.6,9740220,9764960,150.5,149.6,,2,,4539798,45398,5225161,1531407,0,,171866,133585,38281,,10,Hotel,128909,Parking,38301,,,,No Issue,Compliant
34,688000090,2019,SPS-District K-12,MEANY MIDDLE SCHOOL (SPS-DISTRICT),3,SHARED: CENTRAL &amp; EAST,1955,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,K-12 School,,K-12 School,184.3,59,,39.8,40.7,5140296,5023781,66.1,67.3,,1.5,,3265703,32657,1758078,515263,0,,126351,126351,0,,1,K-12 School,126351,,,,,,No Issue,Compliant
35,697000170,2019,NonResidential,HOTEL FIVE,7,DOWNTOWN,1978,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,Hotel,,Hotel,119.8,59,,85.2,84.7,4424152,4446340,172.5,171.3,,2.3,,1968430,19684,2477910,726234,0,,68410,52210,16200,,5,Hotel,52210,Parking,15400,,,,No Issue,Compliant
36,752000170,2019,SPS-District K-12,JANE ADDAMS MIDDLE (SPS-DISTRICT),5,NORTH,1949,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,K-12 School,,K-12 School,286.3,71,,41,42,6975741,6809065,60,61,,1.8,,5205440,52054,1603625,469996,0,,160645,160645,0,,2,K-12 School,166021,,,,,,No Issue,Compliant
37,809000005,2019,SPS-District K-12,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),7,MAGNOLIA / QUEEN ANNE,1989,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,K-12 School,,K-12 School,9.2,70,,27.2,27.6,1519855,1497974,76,77.1,,0.2,,0,0,1497974,439031,0,,51582,51582,0,,2,K-12 School,55166,,,,,,No Issue,Compliant
38,825049102,2019,NonResidential,GOOD SHEPHERD CENTER,4,LAKE UNION,1906,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,Office,,Office,181.7,,,56.1,57.5,4508516,4396490,83.5,85,,2.1,,3292646,32926,1103844,323518,0,,87262,87262,0,,3,Office,43615,K-12 School,23177,Other - Entertainment/Public Assembly,5919,,No Issue,Compliant
40,925049117,2019,NonResidential,SILVER CLOUD INN UNIVERSITY,4,NORTHEAST,1994,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,Hotel,,Hotel,178.4,32,,74.2,74.3,6082608,6072974,143.5,143.2,,2.2,,3003732,30037,3069242,899544,0,,81871,81871,0,,4,Hotel,81871,,,,,,No Issue,Compliant
41,925049330,2019,NonResidential,2746 NE 45TH ST - PUBLIC STORAGE,4,NORTHEAST,1955,2746 NE 45TH ST,SEATTLE,WA,98105,47.66172,-122.29598,Self-Storage Facility,,Self-Storage Facility,3.7,,,6.9,6.9,316158,314906,17.9,18,,0.1,,36900,369,278006,81479,0,,26225,26225,0,,2,Self-Storage Facility,45574,,,,,,No Issue,Compliant
43,22000005,2019,Campus,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,2,GREATER DUWAMISH,1992,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,Mixed Use Property,,Mixed Use Property,21601.4,,,276.8,279.5,554601152,549317632,432.9,435.7,,10.7,,388006400,3880064,161311239,47277620,0,,2026324,2026324,0,,3,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,,No Issue,Compliant
50,369000400,2019,SPS-District K-12,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),7,MAGNOLIA / QUEEN ANNE,1990,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,K-12 School,,K-12 School,42.6,68,,34.2,35,1923040,1881906,74.8,76.3,,0.8,,659259,6593,1222646,358337,0,,54986,54986,0,,2,K-12 School,54986,,,,,,No Issue,Compliant
51,425049022,2019,SPS-District K-12,ECKSTEIN MIDDLE (SPS-DISTRICT),4,NORTHEAST,1950,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,K-12 School,,K-12 School,327.8,84,,42.3,43.3,7772197,7598778,60.2,61.3,,1.9,,5984358,59844,1614420,473160,0,,175565,175565,0,,2,K-12 School,179513,,,,,,No Issue,Compliant
52,467000429,2019,NonResidential,SALMON BAY CENTER 5305 & 5309,6,BALLARD,1961,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,Office,,Office,154.3,8,,137.3,138.2,6859256,6811598,300,301,,1.6,,2393345,23933,4418253,1294916,0,,94900,94900,0,,2,Office,28055,Non-Refrigerated Warehouse,21562,,,,No Issue,Compliant
53,570000340,2019,NonResidential,EL CENTRO DE LA RAZA,2,GREATER DUWAMISH,1900,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,Office,,Office,102.1,79,,45.7,46.6,2743523,2689138,73.7,74.7,,1.9,,1822378,18224,866760,254033,0,,52554,52554,0,,2,Office,51029,Other - Education,7849,,,,No Issue,Compliant
54,625049002,2019,NonResidential,BLANCHET HIGH SCHOOL,6,NORTHWEST,1954,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,K-12 School,,K-12 School,384.9,67,,56.6,57.4,10047507,9905718,89.5,90.6,,2.2,,6898584,68986,3007133,881340,0,,175015,175015,0,,3,K-12 School,175015,,,,,,No Issue,Compliant
55,653000225,2019,NonResidential,VINE ST MINI STORAGE,7,DOWNTOWN,1911,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,Self-Storage Facility,,Self-Storage Facility,59.6,,,35.9,36.2,2552518,2532612,77.3,77.4,,0.8,,937852,9379,1594760,467397,0,,70586,70586,0,,3,Self-Storage Facility,38439,Vocational School,28197,Office,3859,,No Issue,Compliant
56,7802920020,2019,NonResidential,HILTON SEATTLE,7,DOWNTOWN,1969,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,Hotel,,Hotel,350.6,96,,42.2,42.1,14666158,14718438,90.4,89.7,,2.8,,5535271,55353,9183166,2691432,0,,332210,126240,205970,,24,Hotel,348630,,,,,,No Issue,Compliant
57,1975700200,2019,NonResidential,5TH & PINE,7,DOWNTOWN,1973,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,Office,,Office,54.2,77,,51.9,51.7,8756892,8800143,145.3,144.6,,0.6,,0,0,8800142,2579174,0,,88717,88717,0,,5,Office,103362,Retail Store,65676,Data Center,493,,No Issue,Compliant
58,1975700365,2019,NonResidential,CENTURY SQUARE RETAIL,7,DOWNTOWN,1920,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,Other - Mall,,Other - Mall,24.5,,,,,,,,,,0.4,,462236,4622,0,0,0,,57428,57428,0,,2,Other - Mall,51747,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681,,,,Missing 2019 EUI or Electricity Data,Not Compliant
59,1975700380,2019,NonResidential,GIBRALTAR TOWER,7,DOWNTOWN,1910,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,Office,,Office,13.8,,,40.8,40.8,2242016,2242016,114.2,114.2,,0.2,,0,0,2242016,657097,0,,59400,59400,0,,8,Office,48366,Retail Store,6619,,,,No Issue,Compliant
60,1975700525,2019,NonResidential,MANN BUILDING/WILD GINGER/TRIPLE DOOR,7,DOWNTOWN,1926,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,Mixed Use Property,,Mixed Use Property,750.5,,,346.4,345.9,18144234,18171332,516.2,514.8,,14.3,,13599705,135997,4571626,1339867,0,,52549,52549,0,,2,Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,,No Issue,Compliant
62,1976700010,2019,NonResidential,ROOSEVELT HOTEL (HOTEL THEODORE),7,DOWNTOWN,1930,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,Hotel,,Hotel,206.3,56,,84.8,84.7,7681574,7688554,176.1,175.9,,2.3,,1038578,10386,4305767,1261948,2344210,,98634,88591,10043,,20,Hotel,83591,Parking,10043,Restaurant,7057,,No Issue,Compliant
63,1976700095,2019,Campus,SHERATON GRAND SEATTLE - (Parent Building),7,DOWNTOWN,1982,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,Hotel,,Hotel,2381.4,67,,86,86.2,85750240,85508736,173.5,173.8,,2.6,,25204670,252047,46025935,13489430,14278142,,1083197,926614,156583,,34,Hotel,994212,Parking,117668,Swimming Pool,0,,No Issue,Compliant
65,1977200050,2019,NonResidential,INN AT THE MARKET,7,DOWNTOWN,1985,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,Hotel,,Hotel,124.4,98,,87.1,86.9,4988638,4999147,183,182.5,,2.2,,1993800,19938,3005347,880817,0,,71150,57420,13730,,7,Hotel,57420,Parking,13730,Retail Store,9604,,No Issue,Compliant
66,1977201035,2019,NonResidential,MOORE HOTEL & THEATRE,7,DOWNTOWN,1908,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,Hotel,,Hotel,252,100,,46.1,46.6,5981986,5914514,66.4,67,,2.1,,4591913,45919,1322601,387632,0,,122810,122810,0,,7,Hotel,96360,Other - Entertainment/Public Assembly,26450,Restaurant,5486,,Account Requires Verification,Not Compliant
67,1991200730,2019,NonResidential,QUALITY INN & SUITES - SEATTLE,7,LAKE UNION,1959,618 JOHN ST,SEATTLE,WA,98109,47.61986,-122.34413,Hotel,,Hotel,121.6,95,,62.5,62.2,4392000,4414873,125.2,124.3,,1.7,,2010398,20104,2404475,704711,0,,113173,70627,42546,,5,Hotel,70627,Parking,42546,,,,No Issue,Compliant
68,1991200935,2019,NonResidential,HOLIDAY INN - SEATTLE,7,LAKE UNION,2000,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,Hotel,,Hotel,212.2,92,,60.7,60.4,6988562,7025278,115.6,114.7,,1.8,,3596807,35968,3428470,1004827,0,,150453,115718,34735,,7,Hotel,115718,Parking,34735,,,,No Issue,Compliant
69,1991200940,2019,NonResidential,FAIRFIELD INN,7,LAKE UNION,1997,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,Hotel,,Hotel,167.1,86,,63.4,63.4,5610892,5610892,121.7,121.7,,1.9,,2823000,28230,2787892,817084,0,,116300,88100,28200,,6,Hotel,88490,,,,,,No Issue,Compliant
70,1992200235,2019,NonResidential,HOMEWOOD SUITES HOTEL - SEATTLE,7,MAGNOLIA / QUEEN ANNE,1998,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,Hotel,,Hotel,195.4,94,,47.6,47,7318056,7399314,97.3,95.8,,1.6,,3190833,31908,4208480,1233435,0,,155602,118858,36744,,6,Hotel,155602,,,,,,No Issue,Compliant
73,2125049015,2019,NonResidential,SEATTLE HEBREW ACADEMY,3,EAST,1911,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,K-12 School,,K-12 School,162.8,54,,63.3,65.1,3650135,3548614,83.5,85.4,,2.9,,3002330,30023,546284,160107,0,,56072,56072,0,,3,K-12 School,56072,,,,,,No Issue,Compliant
77,2249000170,2019,NonResidential,COMFORT SUITES SEATTLE CENTER,7,MAGNOLIA / QUEEN ANNE,1999,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,Hotel,,Hotel,106.4,98,,52.6,52.6,4104580,4104580,108.5,108.5,,1.4,,1726653,17267,2377927,696931,0,,122942,78051,44891,,4,Hotel,78051,Parking,44891,,,,No Issue,Compliant
82,2254501944,2019,NonResidential,WA DEPT OF SOCIAL & HEALTH SERVICES,3,CENTRAL,1962,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,Office,,Office,105.4,61,,65.7,66.1,3636570,3610120,127.5,128,,1.9,,1771775,17718,1838345,538788,0,,54984,54984,0,,2,Office,54984,,,,,,No Issue,Compliant
84,2324039001,2019,NonResidential,PROVIDENCE MT ST VINCENT,1,SOUTHWEST,1922,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,Senior Care Community,,Senior Care Community,2030.1,35,,162.2,164.4,48732556,48054288,235.9,238.3,,6.9,,36933897,369339,11120390,3259200,0,,371257,296313,74944,,5,Senior Care Community,296355,Parking,0,,,,No Issue,Compliant
316,7666202345,2019,NonResidential,SEATTLE WATERFRONT MARRIOTT,7,DOWNTOWN,2003,2100 ALASKAN WAY,SEATTLE,WA,98121,47.61069,-122.34653,Hotel,,Hotel,863.1,35,,107.4,107.1,27230572,27302520,198.8,198,,4,,14800423,148004,12502097,3664155,0,,254273,215473,38800,,8,Hotel,254273,Parking,38757,,,,No Issue,Compliant
85,2426039059,2019,NonResidential,FOSS HOME AND VILLAGE,5,NORTHWEST,1970,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,Senior Care Community,,Senior Care Community,620.9,1,,181.4,180.5,16859162,16942646,301.8,300.9,,6.6,,11001859,110019,5940787,1741145,0,,93397,93397,0,,2,Senior Care Community,93397,,,,,,No Issue,Compliant
86,2467400430,2019,NonResidential,SCCA - ALLIANCE HOUSE,7,LAKE UNION,2008,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,Hotel,,Hotel,67.3,98,,47.5,47.7,3020655,3012965,104.5,104.6,,1.1,,1037967,10380,1974998,578839,0,,84103,63371,20732,,6,Hotel,63371,Parking,20732,,,,No Issue,Compliant
87,2518400005,2019,SPS-District K-12,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),1,SOUTHWEST,2016,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,K-12 School,,K-12 School,52.8,97,,22.4,22.3,2020176,2029770,36.4,36.6,,0.7,,858965,8590,1170805,343143,0,,78972,78972,0,,3,K-12 School,90763,,,,,,No Issue,Compliant
89,1978201270,2019,NonResidential,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),3,EAST,1965,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,Medical Office,,Medical Office,487.1,61,,95.9,96.2,17212696,17164508,189.1,189.4,,2.7,,8121855,81219,9042653,2650250,0,,329489,179014,150475,,3,Medical Office,179014,Parking,150475,,,,No Issue,Compliant
95,1979200270,2019,NonResidential,SORRENTO HOTEL,3,EAST,1908,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,Hotel,,Hotel,246.4,75,,88.8,88.9,6810728,6806784,149.3,148.5,,3.2,,4354799,43548,2451985,718636,0,,76631,76631,0,,7,Hotel,76631,,,,,,No Issue,Compliant
96,1979200290,2019,NonResidential,PUGET SOUND BLOOD CENTER,3,EAST,1983,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,Mixed Use Property,,Mixed Use Property,320.2,,,187.8,187.8,14205690,14206169,421.3,420,,3.5,,0,0,9257111,2713104,4949060,,99780,90439,9341,,6,Medical Office,40654,Parking,20868,Office,17020,,No Issue,Compliant
100,1983200325,2019,NonResidential,CITY PLACE III (Obidos/Rufus),7,LAKE UNION,2010,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,Office,,Office,217.2,91,,52.6,52.5,15096982,15112635,131.2,131.1,,0.8,,2642993,26430,12469642,3654643,0,,438093,287367,150726,,5,Office,247882,Parking,150726,Retail Store,26464,,No Issue,Compliant
102,1984200065,2019,NonResidential,MARRIOTT RESIDENCE INN,3,LAKE UNION,1990,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,Hotel,,Hotel,601.9,72,,79.7,80.3,19175140,19025074,147.4,148.1,,2.5,,10322101,103221,8702971,2550695,0,,282863,238097,44766,,7,Hotel,238793,Parking,51537,,,,No Issue,Compliant
