,Unnamed: 0,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,NaturalGas(kBtu),Electricity(kBtu),SteamUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,OSE Building Type,LargestPropertyUseType OSE,SecondLargestPropertyUseType OSE,ThirdLargestPropertyUseType OSE,LargestPropertyUseType OSE GFA for Policy,SecondLargestPropertyUseType OSE GFA for Policy,ThirdLargestPropertyUseType OSE GFA for Policy,Total GFA for Policy,LargestPropertyUseType Percent GFA,SecondLargestPropertyUseType Percent GFA,ThirdLargestPropertyUseType Percent GFA,sq_ft_classification
19,19,25,942000610,2019,NonResidential,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,608807,5553235,2507176,104352,104352,0,Hotel,104352.0,,,,,NonResidential,Hotel,,,104352.0,0.0,0.0,104352.0,1.0,0.0,0.0,B
20,20,26,942000860,2019,NonResidential,KING COUNTY COURTHOUSE,23370698,23620966,0,540360,540360,0,Courthouse,501287.0,Barracks,35863.0,,,NonResidential,Other,,,501287.0,35863.0,0.0,537150.0,0.9332346644326538,0.0667653355673461,0.0,A
21,21,27,942001010,2019,NonResidential,KING COUNTY CORRECTIONAL FACILITY,31878400,18009795,0,385274,385274,0,Prison/Incarceration,339315.0,Parking,45959.0,,,NonResidential,Other,,,339315.0,45959.0,0.0,385274.0,0.8807108707050048,0.1192891292949952,0.0,A
22,22,28,1102000138,2019,SPS-District K-12,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),834045,819208,0,56228,56228,0,K-12 School,58916.0,,,,,Campus,K-12 School,,,58916.0,0.0,0.0,58916.0,1.0,0.0,0.0,C
23,23,29,1142000755,2019,NonResidential,WATERTOWN HOTEL,1245397,2114849,0,88592,58006,30586,Hotel,67770.0,Parking,30586.0,,,NonResidential,Hotel,,,67770.0,30586.0,0.0,98356.0,0.6890276139737281,0.3109723860262719,0.0,B
24,24,30,660001420,2019,NonResidential,CORNISH (Main Campus Center),4615337,5313794,0,126593,126593,0,College/University,125000.0,,,,,NonResidential,College/University,,,125000.0,0.0,0.0,125000.0,1.0,0.0,0.0,B
25,25,32,660001832,2019,NonResidential,HOMEWOOD SUITES -SEATTLE - Hilton,4673809,6215900,0,158676,128375,30301,Hotel,152708.0,Parking,42000.0,Swimming Pool,0.0,NonResidential,Hotel,,Recreation,152708.0,42000.0,0.0,194708.0,0.7842923762762701,0.2157076237237299,0.0,B
26,26,33,660002680,2019,NonResidential,SPRINGHILL SUITES SEATTLE DOWNTOWN,4539798,5225161,0,171866,133585,38281,Hotel,128909.0,Parking,38301.0,,,NonResidential,Hotel,,,128909.0,38301.0,0.0,167210.0,0.7709407332097362,0.2290592667902637,0.0,B
27,27,34,688000090,2019,SPS-District K-12,MEANY MIDDLE SCHOOL (SPS-DISTRICT),3265703,1758078,0,126351,126351,0,K-12 School,126351.0,,,,,Campus,K-12 School,,,126351.0,0.0,0.0,126351.0,1.0,0.0,0.0,B
28,28,35,697000170,2019,NonResidential,HOTEL FIVE,1968430,2477910,0,68410,52210,16200,Hotel,52210.0,Parking,15400.0,,,NonResidential,Hotel,,,52210.0,15400.0,0.0,67610.0,0.772223043928413,0.227776956071587,0.0,C
29,29,36,752000170,2019,SPS-District K-12,JANE ADDAMS MIDDLE (SPS-DISTRICT),5205440,1603625,0,160645,160645,0,K-12 School,166021.0,,,,,Campus,K-12 School,,,166021.0,0.0,0.0,166021.0,1.0,0.0,0.0,B
30,30,37,809000005,2019,SPS-District K-12,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),0,1497974,0,51582,51582,0,K-12 School,55166.0,,,,,Campus,K-12 School,,,55166.0,0.0,0.0,55166.0,1.0,0.0,0.0,C
31,31,38,825049102,2019,NonResidential,GOOD SHEPHERD CENTER,3292646,1103844,0,87262,87262,0,Office,43615.0,K-12 School,23177.0,Other - Entertainment/Public Assembly,5919.0,NonResidential,Office,K-12 School,Entertainment/Public Assembly,43615.0,23177.0,5919.0,72711.0,0.599840464303888,0.3187550714472363,0.0814044642488756,C
32,32,40,925049117,2019,NonResidential,SILVER CLOUD INN UNIVERSITY,3003732,3069242,0,81871,81871,0,Hotel,81871.0,,,,,NonResidential,Hotel,,,81871.0,0.0,0.0,81871.0,1.0,0.0,0.0,C
33,33,41,925049330,2019,NonResidential,2746 NE 45TH ST - PUBLIC STORAGE,36900,278006,0,26225,26225,0,Self-Storage Facility,45574.0,,,,,NonResidential,Self-Storage Facility,,,45574.0,0.0,0.0,45574.0,1.0,0.0,0.0,D
34,34,43,22000005,2019,Campus,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,388006400,161311239,0,2026324,2026324,0,Office,686180.0,Laboratory,639946.0,Non-Refrigerated Warehouse,480625.0,Campus,Office,Laboratory,Non-Refrigerated Warehouse,686180.0,639946.0,480625.0,1806751.0,0.3797866999935242,0.3541971195809494,0.2660161804255262,A
35,35,50,369000400,2019,SPS-District K-12,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),659259,1222646,0,54986,54986,0,K-12 School,54986.0,,,,,Campus,K-12 School,,,54986.0,0.0,0.0,54986.0,1.0,0.0,0.0,C
36,36,51,425049022,2019,SPS-District K-12,ECKSTEIN MIDDLE (SPS-DISTRICT),5984358,1614420,0,175565,175565,0,K-12 School,179513.0,,,,,Campus,K-12 School,,,179513.0,0.0,0.0,179513.0,1.0,0.0,0.0,B
37,37,52,467000429,2019,NonResidential,SALMON BAY CENTER 5305 & 5309,2393345,4418253,0,94900,94900,0,Office,28055.0,Non-Refrigerated Warehouse,21562.0,,,NonResidential,Office,Non-Refrigerated Warehouse,,28055.0,21562.0,0.0,49617.0,0.5654312030150956,0.4345687969849043,0.0,D
38,38,53,570000340,2019,NonResidential,EL CENTRO DE LA RAZA,1822378,866760,0,52554,52554,0,Office,51029.0,Other - Education,7849.0,,,NonResidential,Office,Other,,51029.0,7849.0,0.0,58878.0,0.8666904446482557,0.1333095553517443,0.0,C
39,39,54,625049002,2019,NonResidential,BLANCHET HIGH SCHOOL,6898584,3007133,0,175015,175015,0,K-12 School,175015.0,,,,,NonResidential,K-12 School,,,175015.0,0.0,0.0,175015.0,1.0,0.0,0.0,B
40,40,55,653000225,2019,NonResidential,VINE ST MINI STORAGE,937852,1594760,0,70586,70586,0,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,NonResidential,Self-Storage Facility,Other,Office,38439.0,28197.0,3859.0,70495.0,0.5452727143769062,0.3999858145967799,0.0547414710263139,C
41,41,56,7802920020,2019,NonResidential,HILTON SEATTLE,5535271,9183166,0,332210,126240,205970,Hotel,348630.0,,,,,NonResidential,Hotel,,,348630.0,0.0,0.0,348630.0,1.0,0.0,0.0,A
42,42,57,1975700200,2019,NonResidential,5TH & PINE,0,8800142,0,88717,88717,0,Office,103362.0,Retail Store,65676.0,Data Center,493.0,NonResidential,Office,Retail Store,,103362.0,65676.0,493.0,169531.0,0.6096938023134412,0.3873981749650506,0.0029080227215081,B
43,43,58,1975700365,2019,NonResidential,CENTURY SQUARE RETAIL,462236,0,0,57428,57428,0,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,NonResidential,Retail Store,Services,,51747.0,5681.0,0.0,57428.0,0.9010761301107474,0.0989238698892526,0.0,C
44,44,59,1975700380,2019,NonResidential,GIBRALTAR TOWER,0,2242016,0,59400,59400,0,Office,48366.0,Retail Store,6619.0,,,NonResidential,Office,Retail Store,,48366.0,6619.0,0.0,54985.0,0.8796217150131854,0.1203782849868145,0.0,C
45,45,60,1975700525,2019,NonResidential,MANN BUILDING/WILD GINGER/TRIPLE DOOR,13599705,4571626,0,52549,52549,0,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,NonResidential,Entertainment/Public Assembly,Restaurant,Office,23500.0,23500.0,5459.0,52459.0,0.4479688899902781,0.4479688899902781,0.1040622200194437,C
46,46,62,1976700010,2019,NonResidential,ROOSEVELT HOTEL (HOTEL THEODORE),1038578,4305767,2344210,98634,88591,10043,Hotel,83591.0,Parking,10043.0,Restaurant,7057.0,NonResidential,Hotel,,Restaurant,83591.0,10043.0,7057.0,100691.0,0.8301735011073482,0.0997407911332691,0.0700857077593826,B
47,47,63,1976700095,2019,Campus,SHERATON GRAND SEATTLE - (Parent Building),25204670,46025935,14278142,1083197,926614,156583,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,Campus,Hotel,,Recreation,994212.0,117668.0,0.0,1111880.0,0.8941720329531964,0.1058279670468036,0.0,A
48,48,65,1977200050,2019,NonResidential,INN AT THE MARKET,1993800,3005347,0,71150,57420,13730,Hotel,57420.0,Parking,13730.0,Retail Store,9604.0,NonResidential,Hotel,,Retail Store,57420.0,13730.0,9604.0,80754.0,0.7110483691210343,0.1700225375832776,0.1189290932956881,C
49,49,66,1977201035,2019,NonResidential,MOORE HOTEL & THEATRE,4591913,1322601,0,122810,122810,0,Hotel,96360.0,Other - Entertainment/Public Assembly,26450.0,Restaurant,5486.0,NonResidential,Hotel,Entertainment/Public Assembly,Restaurant,96360.0,26450.0,5486.0,128296.0,0.7510756375880776,0.206163871048201,0.0427604913637213,B
50,50,67,1991200730,2019,NonResidential,QUALITY INN & SUITES - SEATTLE,2010398,2404475,0,113173,70627,42546,Hotel,70627.0,Parking,42546.0,,,NonResidential,Hotel,,,70627.0,42546.0,0.0,113173.0,0.6240622763379958,0.3759377236620042,0.0,B
51,51,68,1991200935,2019,NonResidential,HOLIDAY INN - SEATTLE,3596807,3428470,0,150453,115718,34735,Hotel,115718.0,Parking,34735.0,,,NonResidential,Hotel,,,115718.0,34735.0,0.0,150453.0,0.7691305590450174,0.2308694409549826,0.0,B
52,52,69,1991200940,2019,NonResidential,FAIRFIELD INN,2823000,2787892,0,116300,88100,28200,Hotel,88490.0,,,,,NonResidential,Hotel,,,88490.0,0.0,0.0,88490.0,1.0,0.0,0.0,C
53,53,70,1992200235,2019,NonResidential,HOMEWOOD SUITES HOTEL - SEATTLE,3190833,4208480,0,155602,118858,36744,Hotel,155602.0,,,,,NonResidential,Hotel,,,155602.0,0.0,0.0,155602.0,1.0,0.0,0.0,B
54,54,73,2125049015,2019,NonResidential,SEATTLE HEBREW ACADEMY,3002330,546284,0,56072,56072,0,K-12 School,56072.0,,,,,NonResidential,K-12 School,,,56072.0,0.0,0.0,56072.0,1.0,0.0,0.0,C
55,55,77,2249000170,2019,NonResidential,COMFORT SUITES SEATTLE CENTER,1726653,2377927,0,122942,78051,44891,Hotel,78051.0,Parking,44891.0,,,NonResidential,Hotel,,,78051.0,44891.0,0.0,122942.0,0.6348603406484359,0.3651396593515641,0.0,B
56,56,82,2254501944,2019,NonResidential,WA DEPT OF SOCIAL & HEALTH SERVICES,1771775,1838345,0,54984,54984,0,Office,54984.0,,,,,NonResidential,Office,,,54984.0,0.0,0.0,54984.0,1.0,0.0,0.0,C
57,57,84,2324039001,2019,NonResidential,PROVIDENCE MT ST VINCENT,36933897,11120390,0,371257,296313,74944,Senior Care Community,296355.0,Parking,0.0,,,NonResidential,Senior Living Community,,,296355.0,0.0,0.0,296355.0,1.0,0.0,0.0,A
58,58,316,7666202345,2019,NonResidential,SEATTLE WATERFRONT MARRIOTT,14800423,12502097,0,254273,215473,38800,Hotel,254273.0,Parking,38757.0,,,NonResidential,Hotel,,,254273.0,38757.0,0.0,293030.0,0.8677370917653483,0.1322629082346517,0.0,A
59,59,85,2426039059,2019,NonResidential,FOSS HOME AND VILLAGE,11001859,5940787,0,93397,93397,0,Senior Care Community,93397.0,,,,,NonResidential,Senior Living Community,,,93397.0,0.0,0.0,93397.0,1.0,0.0,0.0,B
60,60,86,2467400430,2019,NonResidential,SCCA - ALLIANCE HOUSE,1037967,1974998,0,84103,63371,20732,Hotel,63371.0,Parking,20732.0,,,NonResidential,Hotel,,,63371.0,20732.0,0.0,84103.0,0.7534927410437202,0.2465072589562798,0.0,C
61,61,87,2518400005,2019,SPS-District K-12,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),858965,1170805,0,78972,78972,0,K-12 School,90763.0,,,,,Campus,K-12 School,,,90763.0,0.0,0.0,90763.0,1.0,0.0,0.0,B
62,62,89,1978201270,2019,NonResidential,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),8121855,9042653,0,329489,179014,150475,Medical Office,179014.0,Parking,150475.0,,,NonResidential,Office,,,179014.0,150475.0,0.0,329489.0,0.5433079708275542,0.4566920291724458,0.0,A
63,63,95,1979200270,2019,NonResidential,SORRENTO HOTEL,4354799,2451985,0,76631,76631,0,Hotel,76631.0,,,,,NonResidential,Hotel,,,76631.0,0.0,0.0,76631.0,1.0,0.0,0.0,C
64,64,96,1979200290,2019,NonResidential,PUGET SOUND BLOOD CENTER,0,9257111,4949060,99780,90439,9341,Medical Office,40654.0,Parking,20868.0,Office,17020.0,NonResidential,Office,,Office,40654.0,20868.0,17020.0,78542.0,0.5176084133329938,0.265692241093937,0.2166993455730692,C
65,65,100,1983200325,2019,NonResidential,CITY PLACE III (Obidos/Rufus),2642993,12469642,0,438093,287367,150726,Office,247882.0,Parking,150726.0,Retail Store,26464.0,NonResidential,Office,,Retail Store,247882.0,150726.0,26464.0,425072.0,0.5831529717318478,0.3545893401588437,0.0622576881093085,A
66,66,102,1984200065,2019,NonResidential,MARRIOTT RESIDENCE INN,10322101,8702971,0,282863,238097,44766,Hotel,238793.0,Parking,51537.0,,,NonResidential,Hotel,,,238793.0,51537.0,0.0,290330.0,0.8224882030792546,0.1775117969207453,0.0,A
67,67,104,1985200003,2019,Nonresidential COS,BAGLEY WRIGHT THEATER - SEATTLE CENTER,0,3504520,2910560,91213,91213,0,Other,65000.0,,,,,NonResidential,Other,,,65000.0,0.0,0.0,65000.0,1.0,0.0,0.0,C
68,68,106,1985200305,2019,Nonresidential COS,ARMORY - SEATTLE CENTER,0,6554568,7235690,396085,396085,0,Other,278500.0,,,,,NonResidential,Other,,,278500.0,0.0,0.0,278500.0,1.0,0.0,0.0,A
69,69,107,1986200410,2019,NonResidential,CITY PLACE IV (Ruby/Dawson),6457797,30550021,0,571329,571329,0,Office,598801.0,Parking,310699.0,Other,26203.0,NonResidential,Office,,Other,598801.0,310699.0,26203.0,935703.0,0.6399477184533982,0.3320487376870652,0.0280035438595366,A
70,70,110,1988200440,2019,Nonresidential COS,EXHIBITION HALL - SEATTLE CENTER,0,2371746,1376730,52000,52000,0,Social/Meeting Hall,54981.0,,,,,NonResidential,Entertainment/Public Assembly,,,54981.0,0.0,0.0,54981.0,1.0,0.0,0.0,C
71,71,112,1988200700,2019,Nonresidential COS,MCCAW HALL - SEATTLE CENTER,488070,12276919,5690960,262048,262048,0,Performing Arts,296000.0,,,,,NonResidential,Entertainment/Public Assembly,,,296000.0,0.0,0.0,296000.0,1.0,0.0,0.0,A
72,72,113,1988200705,2019,NonResidential,KCTS 9,0,4104100,0,66240,63888,2352,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,NonResidential,Office,,Non-Refrigerated Warehouse,45900.0,5181.0,4551.0,55632.0,0.8250647109577222,0.0931298533218291,0.0818054357204486,C
73,73,114,1988201155,2019,NonResidential,BILL & MELINDA GATES FOUNDATION,11978198,26585796,0,920598,616891,303707,Office,729584.0,Parking,185014.0,Other,6000.0,NonResidential,Office,,Other,729584.0,185014.0,6000.0,920598.0,0.7925109548358784,0.2009715424104766,0.0065175027536449,A
74,74,115,1989200850,2019,NonResidential,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,808525,2231915,0,76213,50283,25930,Office,48546.0,Parking,21454.0,Other,2406.0,NonResidential,Office,,Other,48546.0,21454.0,2406.0,72406.0,0.6704692981244649,0.296301411485236,0.0332292903902991,C
75,75,116,1989201125,2019,NonResidential,THE MEDITERRANEAN INN,3060185,2335920,0,127200,81560,45640,Hotel,79696.0,Parking,45640.0,Other - Restaurant/Bar,1864.0,NonResidential,Hotel,,Restaurant,79696.0,45640.0,1864.0,127200.0,0.6265408805031446,0.3588050314465408,0.0146540880503144,B
76,76,117,1142001871,2019,NonResidential,UNIVERSITY INN,3218288,2010588,0,71403,60953,10450,Hotel,52953.0,Restaurant,8000.0,Parking,0.0,NonResidential,Hotel,Restaurant,,52953.0,8000.0,0.0,60953.0,0.8687513329942743,0.1312486670057257,0.0,C
77,77,118,1324039116,2019,SPS-District K-12,PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),629342,1664781,0,75364,75364,0,K-12 School,75364.0,,,,,Campus,K-12 School,,,75364.0,0.0,0.0,75364.0,1.0,0.0,0.0,C
78,78,119,1336800825,2019,NonResidential,ST JOSEPH K-8 SCHOOL,1888476,1473537,0,67743,67743,0,K-12 School,67743.0,,,,,NonResidential,K-12 School,,,67743.0,0.0,0.0,67743.0,1.0,0.0,0.0,C
79,79,121,1498303116,2019,NonResidential,THE 2100 BUILDING,0,5278961,0,99433,63681,35752,Office,63681.0,Parking,35752.0,,,NonResidential,Office,,,63681.0,35752.0,0.0,99433.0,0.6404413021833798,0.3595586978166202,0.0,B
80,80,122,1524049002,2019,SPS-District K-12,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),0,2065346,0,60725,60725,0,K-12 School,60725.0,,,,,Campus,K-12 School,,,60725.0,0.0,0.0,60725.0,1.0,0.0,0.0,C
81,81,125,1624049214,2019,SPS-District K-12,MERCER MIDDLE (SPS-DISTRICT),5680587,2320312,0,130862,130862,0,K-12 School,139310.0,,,,,Campus,K-12 School,,,139310.0,0.0,0.0,139310.0,1.0,0.0,0.0,B
82,82,127,1704900242,2019,SPS-District K-12,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),168910,1414316,0,59955,59955,0,K-12 School,59955.0,,,,,Campus,K-12 School,,,59955.0,0.0,0.0,59955.0,1.0,0.0,0.0,C
83,83,130,1794501220,2019,SPS-District K-12,MCCLURE MIDDLE (SPS-DISTRICT),1699147,1488084,0,93218,93218,0,K-12 School,93218.0,,,,,Campus,K-12 School,,,93218.0,0.0,0.0,93218.0,1.0,0.0,0.0,B
84,84,131,1797500625,2019,NonResidential,CENTURYLINK: LAKEVIEW MAIN,0,5064913,0,56521,56521,0,Other,49000.0,,,,,NonResidential,Other,,,49000.0,0.0,0.0,49000.0,1.0,0.0,0.0,D
85,85,132,1797500715,2019,NonResidential,ROOSEVELT SQUARE,2283620,13819136,0,228385,128315,100070,Supermarket/Grocery Store,129396.0,Parking,0.0,,,NonResidential,Supermarket/Grocery Store,,,129396.0,0.0,0.0,129396.0,1.0,0.0,0.0,B
86,86,136,1926049012,2019,NonResidential,HOLIDAY INN EXPRESS - SEATTLE NORTH,2582014,1478988,0,51390,51390,0,Hotel,51390.0,Parking,0.0,,,NonResidential,Hotel,,,51390.0,0.0,0.0,51390.0,1.0,0.0,0.0,C
87,87,137,1926049025,2019,SPS-District K-12,BROADVIEW THOMSON K-8 (SPS-DISTRICT),3285092,1836186,0,131013,131013,0,K-12 School,131909.0,,,,,Campus,K-12 School,,,131909.0,0.0,0.0,131909.0,1.0,0.0,0.0,B
88,88,138,1926049321,2019,SPS-District K-12,INGRAHAM HIGH (SPS-DISTRICT),8352095,3442456,0,245587,245587,0,K-12 School,257634.0,,,,,Campus,K-12 School,,,257634.0,0.0,0.0,257634.0,1.0,0.0,0.0,A
89,89,139,1926049434,2019,NonResidential,7066-Seattle-Northgate,1125000,1461172,0,69138,69138,0,Hotel,70609.0,,,,,NonResidential,Hotel,,,70609.0,0.0,0.0,70609.0,1.0,0.0,0.0,C
90,90,140,1931301145,2019,SPS-District K-12,B F DAY ELEMENTARY (SPS-DISTRICT),0,437900,0,66588,66588,0,K-12 School,66588.0,,,,,Campus,K-12 School,,,66588.0,0.0,0.0,66588.0,1.0,0.0,0.0,C
91,91,141,1932300245,2019,SPS-District K-12,HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),772452,797395,0,44324,44324,0,K-12 School,47307.0,,,,,Campus,K-12 School,,,47307.0,0.0,0.0,47307.0,1.0,0.0,0.0,D
92,92,144,1974600035,2019,NonResidential,ALEXIS HOTEL,1798262,4586093,0,190980,190980,0,Hotel,169037.0,Enclosed Mall,21943.0,,,NonResidential,Hotel,Retail Store,,169037.0,21943.0,0.0,190980.0,0.8851031521625301,0.1148968478374699,0.0,B
93,93,145,1974700025,2019,Nonresidential COS,BENAROYA HALL,524261,9829634,6424176,174000,174000,0,Performing Arts,163031.0,Parking,153719.0,Social/Meeting Hall,9380.0,NonResidential,Entertainment/Public Assembly,,Entertainment/Public Assembly,163031.0,153719.0,9380.0,326130.0,0.4998957470947168,0.4713427160948088,0.0287615368104743,A
94,94,147,2767703875,2019,Campus,SWEDISH MEDICAL CENTER BALLARD - CAMPUS,31516266,30594800,0,451526,302661,148865,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,Campus,Hospital,,,302661.0,148865.0,0.0,451526.0,0.6703069147734572,0.3296930852265429,0.0,A
95,95,163,5247801465,2019,Nonresidential COS,FIRE STATION 10/FAC/EOC,2012337,6200222,0,61156,61156,0,Fire Station,30301.0,Office,27659.0,,,NonResidential,Fire/Police Station,Office,,30301.0,27659.0,0.0,57960.0,0.5227915804002761,0.4772084195997239,0.0,C
96,96,167,5247802715,2019,NonResidential,WING LUKE MUSEUM/KONG YICK BLDG.,470282,1093742,0,72820,59000,13820,Museum,58000.0,,,,,NonResidential,Entertainment/Public Assembly,,,58000.0,0.0,0.0,58000.0,1.0,0.0,0.0,C
